ref	formula	pycel	hyperformula	ironcalc	formulas
ERFC.PRECISE/erfc-precise-at-2	=ERFC.PRECISE(2)	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NAME?"},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NAME?"},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0.004677735},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0.0046777349810472645},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
ERFC/erfc-at-0	=ERFC(0)	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
ERFC/erfc-at-1	=ERFC(1)	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0.15729920705028516},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0.15729920705},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0.157299207},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0.15729920705028516},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
ERFC/erfc-negative	=ERFC(-1)	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NAME?"},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1.8427007929},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1.842700793},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1.8427007929497148},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
FACTDOUBLE/factdouble-of-0	=FACTDOUBLE(0)	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
GAMMALN.PRECISE/gammaln-precise-at-5	=GAMMALN.PRECISE(5)	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NAME?"},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":3.1780538303},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":3.17805383},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":3.1780538303479444},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
GAMMALN/gammaln-at-5	=GAMMALN(5)	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NAME?"},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":3.1780538303},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":3.17805383},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":3.1780538303479444},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
GCD/gcd-basic	=GCD(12, 18)	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":6},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":6},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":6},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":6},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
GCD/gcd-coprime	=GCD(7, 13)	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
GCD/gcd-multiple-args	=GCD(24, 36, 60)	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":12},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":12},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":12},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":12},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
