ref	formula	pycel	hyperformula	ironcalc	formulas
ACOS/acos-at-0	=ACOS(0)	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1.5707963267948966},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1.5707963268},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1.570796327},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1.5707963267948966},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
ACOS/acos-at-1	=ACOS(1)	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
ACOS/acos-negative	=ACOS(-1)	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NAME?"},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":3.1415926536},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":3.141592654},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":3.141592653589793},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
ACOS/acos-out-of-domain	=ACOS(2)	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NAME?"},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NUM!"},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NUM!"},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NUM!"},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
ACOSH/acosh-at-1	=ACOSH(1)	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
ACOSH/acosh-greater-than-1	=ACOSH(2)	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1.3169578969248166},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1.3169578969},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1.316957897},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1.3169578969248166},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
ACOT/acot-at-0	=ACOT(0)	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NAME?"},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1.5707963268},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1.570796327},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1.5707963267948966},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
ACOT/acot-at-1	=ACOT(1)	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NAME?"},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0.7853981634},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0.785398163},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0.7853981633974483},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
ACOT/acot-negative	=ACOT(-1)	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NAME?"},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":-0.7853981634},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":2.35619449},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":2.356194490192345},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
ACOTH/acoth-greater-than-1	=ACOTH(2)	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NAME?"},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0.54930614433},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0.549306144},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0.5493061443340549},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
ACOTH/acoth-less-than-1	=ACOTH(-2)	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NAME?"},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":-0.54930614433},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":-0.549306144},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":-0.5493061443340549},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
ASIN/asin-at-0	=ASIN(0)	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
ASIN/asin-at-1	=ASIN(1)	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1.5707963267948966},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1.5707963268},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1.570796327},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1.5707963267948966},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
ASIN/asin-negative	=ASIN(-1)	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NAME?"},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":-1.5707963268},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":-1.570796327},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":-1.5707963267948966},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
ASIN/asin-out-of-domain	=ASIN(2)	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NAME?"},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NUM!"},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NUM!"},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NUM!"},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
ASINH/asinh-at-0	=ASINH(0)	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
ASINH/asinh-at-1	=ASINH(1)	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0.881373587019543},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0.88137358702},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0.881373587},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0.881373587019543},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
ASINH/asinh-negative	=ASINH(-1)	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NAME?"},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":-0.88137358702},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":-0.881373587},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":-0.881373587019543},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
ATAN/atan-at-0	=ATAN(0)	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
ATAN/atan-at-1	=ATAN(1)	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0.7853981633974483},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0.7853981634},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0.785398163},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0.7853981633974483},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
ATAN/atan-negative	=ATAN(-1)	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NAME?"},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":-0.7853981634},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":-0.785398163},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":-0.7853981633974483},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
ATAN2/atan2-diagonal	=ATAN2(1, 1)	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0.7853981633974483},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0.7853981634},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0.785398163},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0.7853981633974483},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
ATAN2/atan2-negative	=ATAN2(-1, -1)	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NAME?"},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":-2.3561944902},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":-2.35619449},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":-2.356194490192345},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
ATAN2/atan2-on-x-axis	=ATAN2(1, 0)	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
ATAN2/atan2-on-y-axis	=ATAN2(0, 1)	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1.5707963267948966},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1.5707963268},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1.570796327},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1.5707963267948966},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
ATANH/atanh-at-0	=ATANH(0)	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
ATANH/atanh-negative	=ATANH(-0.5)	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NAME?"},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":-0.54930614433},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":-0.549306144},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":-0.5493061443340549},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
ATANH/atanh-positive	=ATANH(0.5)	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0.5493061443340549},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0.54930614433},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0.549306144},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0.5493061443340549},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
COS/cos-at-0	=COS(0)	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
COS/cos-at-1-radian	=COS(1)	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0.5403023058681398},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0.54030230587},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0.540302306},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0.5403023058681398},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
COS/cos-at-pi	=COS(PI())	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":-1},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":-1},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":-1},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":-1},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
COS/cos-at-pi-2	=COS(PI()/2)	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NAME?"},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1.6155445743999999e-15},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":6.12323e-17},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":6.123233995736766e-17},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
COS/cos-negative-symmetric	=COS(-PI())	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NAME?"},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":-1},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":-1},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":-1},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
COSH/cosh-at-0	=COSH(0)	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
COSH/cosh-at-1	=COSH(1)	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1.5430806348152437},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1.5430806348},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1.543080635},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1.5430806348152437},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
COSH/cosh-negative-symmetric	=COSH(-1)	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NAME?"},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1.5430806348},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1.543080635},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1.5430806348152437},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
COT/cot-at-0-error	=COT(0)	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NAME?"},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#DIV/0!"},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#DIV/0!"},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#DIV/0!"},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
